,Parameter,Date,Time,County,Station,Measurement,Unit
184,Ozone,2019-05-17,16:00,Kay,9010,0.043,Parts per million
185,Ozone,2019-05-17,17:00,Kay,9010,0.043,Parts per million
186,Ozone,2019-05-17,18:00,Kay,9010,0.046,Parts per million
187,Ozone,2019-05-17,19:00,Kay,9010,0.046,Parts per million
188,Ozone,2019-05-17,20:00,Kay,9010,0.044,Parts per million
189,Ozone,2019-05-17,21:00,Kay,9010,,Parts per million
190,Ozone,2019-05-17,22:00,Kay,9010,,Parts per million
191,Ozone,2019-05-17,23:00,Kay,9010,0.033,Parts per million
192,Ozone,2019-05-18,00:00,Kay,9010,0.032,Parts per million
193,Ozone,2019-05-18,01:00,Kay,9010,0.033,Parts per million
194,Ozone,2019-05-18,02:00,Kay,9010,0.033,Parts per million
195,Ozone,2019-05-18,03:00,Kay,9010,0.032,Parts per million
196,Ozone,2019-05-18,04:00,Kay,9010,0.031,Parts per million
197,Ozone,2019-05-18,05:00,Kay,9010,0.028,Parts per million
198,Ozone,2019-05-18,06:00,Kay,9010,0.026,Parts per million
199,Ozone,2019-05-18,07:00,Kay,9010,0.024,Parts per million
200,Ozone,2019-05-18,08:00,Kay,9010,0.022,Parts per million
201,Ozone,2019-05-18,09:00,Kay,9010,0.037,Parts per million
202,Ozone,2019-05-18,10:00,Kay,9010,0.045,Parts per million
203,Ozone,2019-05-18,11:00,Kay,9010,0.046,Parts per million
204,Ozone,2019-05-18,12:00,Kay,9010,0.051,Parts per million
205,Ozone,2019-05-18,13:00,Kay,9010,0.052,Parts per million
206,Ozone,2019-05-18,14:00,Kay,9010,0.05,Parts per million
207,Ozone,2019-05-18,15:00,Kay,9010,0.049,Parts per million
208,Ozone,2019-05-18,16:00,Kay,9010,0.048,Parts per million
209,Ozone,2019-05-18,17:00,Kay,9010,0.052,Parts per million
210,Ozone,2019-05-18,18:00,Kay,9010,0.053,Parts per million
211,Ozone,2019-05-18,19:00,Kay,9010,0.051,Parts per million
212,Ozone,2019-05-18,20:00,Kay,9010,0.04,Parts per million
213,Ozone,2019-05-18,21:00,Kay,9010,,Parts per million
214,Ozone,2019-05-18,22:00,Kay,9010,,Parts per million
215,Ozone,2019-05-18,23:00,Kay,9010,0.059,Parts per million
216,Ozone,2019-05-19,00:00,Kay,9010,0.054,Parts per million
217,Ozone,2019-05-19,01:00,Kay,9010,0.046,Parts per million
218,Ozone,2019-05-19,02:00,Kay,9010,0.038,Parts per million
219,Ozone,2019-05-19,03:00,Kay,9010,0.035,Parts per million
220,Ozone,2019-05-19,04:00,Kay,9010,0.038,Parts per million
221,Ozone,2019-05-19,05:00,Kay,9010,0.03,Parts per million
222,Ozone,2019-05-19,06:00,Kay,9010,0.029,Parts per million
223,Ozone,2019-05-19,07:00,Kay,9010,0.025,Parts per million
224,Ozone,2019-05-19,08:00,Kay,9010,0.023,Parts per million
225,Ozone,2019-05-19,09:00,Kay,9010,0.026,Parts per million
226,Ozone,2019-05-19,10:00,Kay,9010,0.029,Parts per million
227,Ozone,2019-05-19,11:00,Kay,9010,0.03,Parts per million
228,Ozone,2019-05-19,12:00,Kay,9010,0.031,Parts per million
