,Parameter,Date,Time,County,Station,Measurement,Unit
168,Carbon monoxide,1992-06-28,16:00,San Bernardino,9004,0.0,Parts per million
169,Carbon monoxide,1992-06-28,15:00,San Bernardino,9004,0.0,Parts per million
170,Carbon monoxide,1992-06-28,14:00,San Bernardino,9004,0.0,Parts per million
171,Carbon monoxide,1992-06-28,13:00,San Bernardino,9004,0.0,Parts per million
172,Carbon monoxide,1992-06-28,12:00,San Bernardino,9004,0.0,Parts per million
173,Carbon monoxide,1992-06-28,11:00,San Bernardino,9004,1.0,Parts per million
174,Carbon monoxide,1992-06-28,10:00,San Bernardino,9004,1.0,Parts per million
175,Carbon monoxide,1992-06-28,09:00,San Bernardino,9004,1.0,Parts per million
176,Carbon monoxide,1992-06-28,08:00,San Bernardino,9004,1.0,Parts per million
177,Carbon monoxide,1992-06-28,07:00,San Bernardino,9004,1.0,Parts per million
178,Carbon monoxide,1992-06-28,06:00,San Bernardino,9004,2.0,Parts per million
179,Carbon monoxide,1992-06-28,05:00,San Bernardino,9004,2.0,Parts per million
180,Carbon monoxide,1992-06-28,03:00,San Bernardino,9004,1.0,Parts per million
181,Carbon monoxide,1992-06-28,02:00,San Bernardino,9004,1.0,Parts per million
182,Carbon monoxide,1992-06-28,01:00,San Bernardino,9004,1.0,Parts per million
183,Carbon monoxide,1992-06-28,00:00,San Bernardino,9004,1.0,Parts per million
184,Carbon monoxide,1992-06-27,23:00,San Bernardino,9004,1.0,Parts per million
185,Carbon monoxide,1992-06-27,22:00,San Bernardino,9004,1.0,Parts per million
186,Carbon monoxide,1992-06-27,21:00,San Bernardino,9004,1.0,Parts per million
187,Carbon monoxide,1992-06-27,20:00,San Bernardino,9004,1.0,Parts per million
188,Carbon monoxide,1992-06-27,19:00,San Bernardino,9004,1.0,Parts per million
189,Carbon monoxide,1992-06-27,18:00,San Bernardino,9004,1.0,Parts per million
190,Carbon monoxide,1992-06-27,17:00,San Bernardino,9004,1.0,Parts per million
191,Carbon monoxide,1992-06-27,16:00,San Bernardino,9004,1.0,Parts per million
192,Carbon monoxide,1992-06-27,15:00,San Bernardino,9004,1.0,Parts per million
193,Carbon monoxide,1992-06-27,14:00,San Bernardino,9004,1.0,Parts per million
194,Carbon monoxide,1992-06-27,13:00,San Bernardino,9004,1.0,Parts per million
195,Carbon monoxide,1992-06-27,12:00,San Bernardino,9004,1.0,Parts per million
196,Carbon monoxide,1992-06-27,11:00,San Bernardino,9004,1.0,Parts per million
197,Carbon monoxide,1992-06-27,10:00,San Bernardino,9004,1.0,Parts per million
198,Carbon monoxide,1992-06-27,09:00,San Bernardino,9004,1.0,Parts per million
199,Carbon monoxide,1992-06-27,08:00,San Bernardino,9004,1.0,Parts per million
200,Carbon monoxide,1992-06-27,07:00,San Bernardino,9004,1.0,Parts per million
201,Carbon monoxide,1992-06-27,06:00,San Bernardino,9004,1.0,Parts per million
202,Carbon monoxide,1992-06-27,05:00,San Bernardino,9004,1.0,Parts per million
203,Carbon monoxide,1992-06-27,03:00,San Bernardino,9004,1.0,Parts per million
204,Carbon monoxide,1992-06-27,02:00,San Bernardino,9004,1.0,Parts per million
205,Carbon monoxide,1992-06-27,01:00,San Bernardino,9004,1.0,Parts per million
206,Carbon monoxide,1992-06-27,00:00,San Bernardino,9004,1.0,Parts per million
207,Carbon monoxide,1992-06-26,23:00,San Bernardino,9004,1.0,Parts per million
208,Carbon monoxide,1992-06-26,22:00,San Bernardino,9004,1.0,Parts per million
209,Carbon monoxide,1992-06-26,21:00,San Bernardino,9004,1.0,Parts per million
210,Carbon monoxide,1992-06-26,20:00,San Bernardino,9004,1.0,Parts per million
211,Carbon monoxide,1992-06-26,19:00,San Bernardino,9004,1.0,Parts per million
212,Carbon monoxide,1992-06-26,18:00,San Bernardino,9004,1.0,Parts per million
213,Carbon monoxide,1992-06-26,17:00,San Bernardino,9004,1.0,Parts per million
214,Carbon monoxide,1992-06-26,16:00,San Bernardino,9004,1.0,Parts per million
215,Carbon monoxide,1992-06-26,15:00,San Bernardino,9004,1.0,Parts per million
216,Carbon monoxide,1992-06-26,14:00,San Bernardino,9004,0.0,Parts per million
217,Carbon monoxide,1992-06-26,13:00,San Bernardino,9004,0.0,Parts per million
218,Carbon monoxide,1992-06-26,12:00,San Bernardino,9004,0.0,Parts per million
219,Carbon monoxide,1992-06-26,11:00,San Bernardino,9004,0.0,Parts per million
220,Carbon monoxide,1992-06-26,10:00,San Bernardino,9004,1.0,Parts per million
221,Carbon monoxide,1992-06-26,09:00,San Bernardino,9004,1.0,Parts per million
222,Carbon monoxide,1992-06-26,08:00,San Bernardino,9004,1.0,Parts per million
223,Carbon monoxide,1992-06-26,07:00,San Bernardino,9004,1.0,Parts per million
224,Carbon monoxide,1992-06-26,06:00,San Bernardino,9004,1.0,Parts per million
225,Carbon monoxide,1992-06-26,05:00,San Bernardino,9004,1.0,Parts per million
226,Carbon monoxide,1992-06-26,03:00,San Bernardino,9004,1.0,Parts per million
227,Carbon monoxide,1992-06-26,02:00,San Bernardino,9004,1.0,Parts per million
228,Carbon monoxide,1992-06-26,01:00,San Bernardino,9004,1.0,Parts per million
229,Carbon monoxide,1992-06-26,00:00,San Bernardino,9004,1.0,Parts per million
230,Carbon monoxide,1992-06-25,23:00,San Bernardino,9004,1.0,Parts per million
231,Carbon monoxide,1992-06-25,22:00,San Bernardino,9004,1.0,Parts per million
232,Carbon monoxide,1992-06-25,21:00,San Bernardino,9004,1.0,Parts per million
233,Carbon monoxide,1992-06-25,20:00,San Bernardino,9004,1.0,Parts per million
234,Carbon monoxide,1992-06-25,19:00,San Bernardino,9004,1.0,Parts per million
235,Carbon monoxide,1992-06-25,18:00,San Bernardino,9004,1.0,Parts per million
236,Carbon monoxide,1992-06-25,17:00,San Bernardino,9004,1.0,Parts per million
237,Carbon monoxide,1992-06-25,16:00,San Bernardino,9004,0.0,Parts per million
238,Carbon monoxide,1992-06-25,15:00,San Bernardino,9004,0.0,Parts per million
239,Carbon monoxide,1992-06-25,14:00,San Bernardino,9004,0.0,Parts per million
240,Carbon monoxide,1992-06-25,13:00,San Bernardino,9004,0.0,Parts per million
241,Carbon monoxide,1992-06-25,12:00,San Bernardino,9004,0.0,Parts per million
242,Carbon monoxide,1992-06-25,11:00,San Bernardino,9004,0.0,Parts per million
243,Carbon monoxide,1992-06-25,10:00,San Bernardino,9004,0.0,Parts per million
244,Carbon monoxide,1992-06-25,09:00,San Bernardino,9004,1.0,Parts per million
245,Carbon monoxide,1992-06-25,08:00,San Bernardino,9004,1.0,Parts per million
246,Carbon monoxide,1992-06-25,07:00,San Bernardino,9004,1.0,Parts per million
247,Carbon monoxide,1992-06-25,06:00,San Bernardino,9004,1.0,Parts per million
248,Carbon monoxide,1992-06-25,05:00,San Bernardino,9004,2.0,Parts per million
249,Carbon monoxide,1992-06-25,03:00,San Bernardino,9004,1.0,Parts per million
250,Carbon monoxide,1992-06-25,02:00,San Bernardino,9004,1.0,Parts per million
251,Carbon monoxide,1992-06-25,01:00,San Bernardino,9004,1.0,Parts per million
